1 "Goose Bay" g 1 "JHU/APL"
2 "Schefferville" s -1 "CNRS/LPCE"
3 "Kapuskasing" k 1 "JHU/APL"
4 "Halley" h 1 "British Antarctic Survey"
5 "Saskatoon" t 1  "University of Saskatchewan"
6 "Prince George" b 1 "University of Saskatchewan"
7 "Kodiak" a 1  "University of Alaska,Fairbanks"
8 "Stokkseyri" w 1  "CNRS/LPCE"
9 "Pykkvibaer" e 1  "University of Leicester"
10 "Hankasalmi" f 1 "University of Leicester"
11 "Sanae" d 1 "University of Natal/PUCHE"
12 "Syowa South" j 1 "NIPR"
13 "Syowa East" n 1 "NIPR" 
14 "TIGER" r 1  "La Trobe Univerity"
15 "Kerguelen" p 1  "CNRS/LPCE"
16 "King Salmon" c 0 "CRL"














